2017,272
2000,461
2009,696
1983,333
1976,972
2015,996
2008,219
1966,95
1995,781
1970,1444
2006,616
2011,530
2007,155
2002,341
1981,644
1974,350
1986,238
2014,881
1975,3922
2012,338
1980,1528
2004,352
1965,760
1979,361
1999,603
2013,335
2010,467
1991,146
1996,385
2001,1626
1990,433
1978,912
1984,666
1961,27
1989,307
1998,220
1982,448
1987,771
1997,238
2016,347
1988,266
1994,288
1993,161
1992,226
2003,352
1985,990
2005,450
1969,350
1968,116
1950,422
1972,364
1977,616
1960,745
1967,57
1955,66
1964,7
1971,75
1973,34
